emp_id,bank_id,first_name,last_name,email,phone_number,address,city,state,zip_code,position,salary,hire_date
1,70,Ethan,Williams,ramirezjuan@wood-williams.net,001-843-460-1453x209,379 Lewis Flats,Lake Jamiefort,Colorado,82876,Officer,117561.04,2019-08-04
2,32,Cindy,Yang,bauergabriella@brooks.com,618-816-8384,07365 Belinda Ranch,North Eduardoville,Colorado,79679,Clerk,110501.55,2017-06-07
3,57,Erin,Patel,bobby86@watts.com,472.594.0868x615,36321 Sandra Ramp,East Matthew,South Dakota,09925,Teller,45714.45,2022-12-16
4,34,Katelyn,Mccarty,efisher@taylor.com,(525)594-5954,81497 Hunt Hill Suite 807,South Brittany,Montana,65768,Teller,79982.14,2021-11-21
5,74,Donald,Bailey,kellysmith@crane.com,001-820-591-6728x5952,009 Daniel Stream Apt. 992,Nathanberg,Mississippi,39048,Manager,95089.75,2024-07-19
6,3,Eddie,Juarez,crogers@hotmail.com,+1-958-559-7607x1413,17049 Edgar Mountain Suite 151,Port Christopher,South Dakota,94929,Clerk,37555.55,2022-10-10
7,11,Stanley,Hernandez,zgarcia@daniels-morrow.com,7242434575,07917 Michelle Circles Apt. 457,Gregoryland,New York,44624,Assistant,51082.53,2019-10-05
8,93,Gregory,Knox,taylornicole@smith.com,406.274.1228x81997,240 William Village Apt. 871,Port Jerryville,Texas,05455,Assistant,53690.89,2021-06-28
9,83,Marie,Robbins,gonzalezashley@roberson.com,868.018.6029,6989 Carter Prairie,Johnside,California,31326,Auditor,48321.58,2022-02-19
10,82,Brian,Martinez,sullivankara@yahoo.com,+1-005-108-7647x7600,192 Steven Glens Apt. 688,West Angelastad,Vermont,93201,Manager,98626.92,2020-04-01
11,78,Rebecca,Cabrera,dromero@holmes.com,6888733507,079 Tom Spring Suite 589,Randyhaven,Iowa,76362,Analyst,60411.33,2024-04-13
12,66,Jacob,Stewart,smithricardo@skinner.biz,232.579.1437x429,918 John Island Apt. 467,Juarezstad,Hawaii,00998,Auditor,84112.73,2020-10-13
13,98,Elizabeth,Jackson,jamiesanchez@gallagher.com,1209088509,690 Mccann Cliffs,South David,South Carolina,64848,Executive,135073.47,2018-06-23
14,92,Scott,Fleming,lyonssamantha@montoya.org,635.293.7270x321,74839 Veronica Creek,Jeffreyshire,Washington,06989,Officer,68073.35,2018-08-11
15,100,Elizabeth,Boone,amymalone@rasmussen.com,260.868.4032x09139,279 Jones Pike Apt. 659,Port Shari,Indiana,95763,Teller,48313.17,2020-02-05
16,29,Victor,Smith,langjohn@hotmail.com,001-273-229-4240x78458,06413 Justin Rue,New Christinashire,Louisiana,77851,Executive,65445.55,2021-04-03
17,3,Lisa,Morse,lisa25@yahoo.com,887.334.4926x95933,31631 Edward Lodge,Lake Jeffreybury,Pennsylvania,23271,Auditor,84283.45,2019-03-29
18,90,John,Lozano,aknapp@gmail.com,612.716.0038,6023 Elizabeth Grove,Johnmouth,Washington,50848,Officer,109450.46,2024-04-05
19,3,Nicholas,Peck,amanda55@ponce.com,+1-349-823-4903x154,164 Samantha Keys,Reyesstad,Maine,16662,Clerk,82410.6,2021-01-03
20,67,Daniel,Barnes,holly74@bennett.org,212.457.9520,076 Justin Locks Suite 132,Schaeferville,New York,28903,Teller,49716.89,2017-11-11
